Course Name,Course Code,Department,Grade Levels,Type
Accounting I,09110,Business,9,Elective
Accounting Ii,09111,Business,9,Required
Introduction To Business,09115,Business,9,Required
Personal Finance,09120,Business,9,Required
Career Readiness And Employability,09101,Internships,9,Elective
Career Internship Program,09102,Internships,9,Elective
Classroom Internship,09103,Internships,9,Required
Pltw Intro To Computer Science,05105,Computer Science,9,Elective
Exploration In Creative Computing,05115,Computer Science,9,Elective
Speech I,02201,English,9,Required
Debate I,02205,English,9,Required
English 9,02401,English,9,Required
English 10,02501,English,9,Elective
Accelerated English 10,02504,English,9,Elective
English 11,02601,English,9,Elective
English 11 Ap English Language & Composition (With Dual Credit Option),02608,English,10,Required
English 12,02715,English,10,Required
English 12 Ap English Literature & Composition (With Dual Credit Option),02606,English,11,Required
Explorations In Reading,02410,English,9,Required
Journalism / Yearbook I,02301,English,9,Elective
Journalism / Yearbook Ii,02302,English,9,Required
Concert Band,01210,Instrumental Music,9,Required
Symphonic Band,01211,Instrumental Music,9,Elective
Concert Strings,01201,Instrumental Music,9,Elective
Symphonic Strings,01202,Instrumental Music,9,Elective
Freshman Choir,01220,Vocal Music,9,Required
Concert Choir,01221,Vocal Music,9,Required
Meistersingers,01222,Vocal Music,10,Required
Photography I,01106,Visual Arts,9,Elective
Photography Ii,01108,Visual Arts,9,Elective
Graphic Design,01104,Visual Arts,10,Required
Drawing,01105,Visual Arts,9,Required
Painting,01107,Visual Arts,9,Elective
Pottery,01102,Visual Arts,9,Elective
Advanced Pottery,01109,Visual Arts,9,Elective
Sculpture,01103,Visual Arts,10,Elective
Arts And Crafts,01113,Visual Arts,9,Required
Printmaking,01114,Visual Arts,9,Required
Advanced Art,01115,Visual Arts,10,Elective
Unified Art,01120,Visual Arts,11,Elective
Drama I:  Introduction To Acting & Theatre,01301,Performing Arts,9,Elective
Drama Ii:  Advanced Acting And Theatre Crafts,01302,Performing Arts,9,Elective
Intro To Audio Production,01223,Performing Arts,9,Elective
Geometry,04401,Mathematics,9,Required
Accelerated Algebra Ii,04504,Mathematics,10,Required
Precalculus (Accelerated),04701,Mathematics,10,Elective
Ap Calculus With Dual Credit Option,04704,Mathematics,10,Elective
Introduction To Statistics And Probability,04707,Mathematics,11,Elective
College Statistics With Dual Credit Option,04601,Mathematics,11,Elective
Online Media Literacy,02304,Online Apex Courses,10,Required
Online Information Technology Applications,05110,Online Apex Courses,10,Required
Online Multicultural Studies,08713,Online Apex Courses,10,Elective
Physical Education/Wellness,06101,Physical Education,9,Required
Women’S Fitness,06102,Physical Education,9,Required
Weight Training,06106,Physical Education,9,Elective
Team Sports,06113,Physical Education,9,Elective
Individual & Dual Activities,06115,Physical Education,9,Elective
Health Education,06105,Physical Education,9,Required
Recreational Sports,06117,Physical Education,9,Required
Biology,07201,Science,9,Required
Physical Science,07101,Science,9,Required
Chemistry,07301,Science,10,Required
Earth And Space Science,07104,Science,10,Required
Physics,07400,Science,11,Elective
Anatomy & Physiology,07209,Science,9,Elective
Advanced Chemistry (With Dual Credit Option),07306,Science,11,Elective
Explorations In Science,07407,Science,11,Elective
Ap Biology,07215,Science,11,Elective
Modern World History,08201,Social Studies,9,Elective
Accelerated World History,08203,Social Studies,10,Elective
Us History,08304,Social Studies,10,Elective
Ap U.S. History,08310,Social Studies,9,Elective
U.S. Government,08401,Social Studies,9,Elective
Ap U.S. Government & Politics,08405,Social Studies,11,Elective
America At War,08407,Historical Figures- 08408,10,Elective
Criminal Justice,08700,Historical Figures- 08408,10,Elective
Psychology,08702,Historical Figures- 08408,10,Elective
Abnormal Psychology,08707,Historical Figures- 08408,10,Elective
Sociology,08703,Historical Figures- 08408,10,Elective
"Philosophy A:  A Good Life, Politics, And Morality",08704,Historical Figures- 08408,10,Elective
"Philosophy B:  Existence, Humanity, & Power",08705,Historical Figures- 08408,10,Elective
Economics,08701,Historical Figures- 08408,10,Required
Spanish I,03101,World Languages,9,Elective
Spanish Ii,03102,World Languages,9,Elective
Spanish Iii,03103,World Languages,9,Elective
Spanish  Iv,03104,World Languages,10,Elective
German I,03201,World Languages,9,Elective
German Ii,03202,World Languages,9,Elective
German Iii,03203,World Languages,9,Elective
German Iv,03204,World Languages,11,Elective
